movie title,Generes,Overview,Keywords,Director,Top 5 Casts,Writer,path
Top Gun: Maverick,"['Action', 'Drama']","After more than thirty years of service as one of the Navy's top aviators, Pete Mitchell is where he belongs, pushing the envelope as a courageous test pilot and dodging the advancement in rank that would ground","['fighter jet', 'sequel', 'u.s. navy', 'fighter aircraft', 'pilot', 'naval aviation', 'jet fighter', 'military pilot', 'aviation', 'aircraft']",Joseph Kosinski,"['Jack Epps Jr.', 'Peter Craig', 'Tom Cruise', 'Jennifer Connelly', 'Miles Teller']",Jim Cash,/title/tt1745960/
Jurassic World Dominion,"['Action', 'Adventure', 'Sci-Fi']","Four years after the destruction of Isla Nublar, dinosaurs now live--and hunt--alongside humans all over the world. This fragile balance will reshape the future and determine, once and for all, whether human beings are to remain the apex predators on a planet they now share with ... Read all","['dinosaur', 'jurassic park', 'tyrannosaurus rex', 'velociraptor', 'sequel', 'alan grant character', 'ellie sattler character', 'ian malcolm character', 'dinosaur feature', 'animal trainer']",Colin Trevorrow,"['Colin Trevorrow', 'Derek Connolly', 'Chris Pratt', 'Bryce Dallas Howard', 'Laura Dern']",Emily Carmichael,/title/tt8041270/
Top Gun,"['Action', 'Drama']","As students at the United States Navy's elite fighter weapons school compete to be best in the class, one daring young pilot learns a few things from a civilian instructor that are not taught in the classroom.","['pilot', 'male camaraderie', 'u.s. navy', 'grumman f 14 tomcat', 'flying', 'jet fighter', 'fighter pilot', 'jet', 'rivalry', 'flight school']",Tony Scott,"['Jack Epps Jr.', 'Ehud Yonay', 'Tom Cruise', 'Tim Robbins', 'Kelly McGillis']",Jim Cash,/title/tt0092099/
Lightyear,"['Animation', 'Action', 'Adventure']","While spending years attempting to return home, marooned Space Ranger Buzz Lightyear encounters an army of ruthless robots commanded by Zurg who are attempting to steal his fuel source.","['galaxy', 'spaceship', 'robot', 'rocket', 'space adventure', 'same sex kiss', 'brainwashing', 'anti conservative', 'spin off', 'pixar']",Angus MacLane,"['Jason Headley', 'Matthew Aldrich', 'Chris Evans', 'Keke Palmer', 'Peter Sohn']",Angus MacLane,/title/tt10298810/
Spiderhead,"['Action', 'Crime', 'Drama']","In the near future, convicts are offered the chance to volunteer as medical subjects to shorten their sentence. One such subject for a new drug capable of generating feelings of love begins questioning the reality of his emotions.","['discover', 'medical', 'test', 'reality', 'fictional drug', 'violence', 'room', 'nature', 'emotion', 'volunteer']",Joseph Kosinski,"['Rhett Reese', 'Paul Wernick', 'Chris Hemsworth', 'Miles Teller', 'Jurnee Smollett']",George Saunders,/title/tt9783600/
Everything Everywhere All at Once,"['Action', 'Adventure', 'Comedy']","An aging Chinese immigrant is swept up in an insane adventure, where she alone can save the world by exploring other universes connecting with the lives she could have led.","['multiverse', 'saving the world', 'mother daughter relationship', 'chinese', 'immigrant', 'husband wife relationship', 'nihilism', 'googly eye', 'bagel', 'lgbt']",Dan Kwan,"['Dan Kwan', 'Daniel Scheinert', 'Michelle Yeoh', 'Stephanie Hsu', 'Ke Huy Quan']",Daniel Scheinert,/title/tt6710474/
Interceptor,"['Action', 'Adventure', 'Drama']",One Army captain must use her years of tactical training and military expertise when a simultaneous coordinated attack threatens the remote missile interceptor station she is in command of.,"['violence', 'gun', 'handgun', 'gun fight', 'one word title', 'chase', 'escape', 'military', 'national emergency', 'international crisis']",Matthew Reilly,"['Stuart Beattie', 'Elsa Pataky', 'Luke Bracey', 'Aaron Glenane', 'Matthew Reilly']",Matthew Reilly,/title/tt14174940/
Interceptor,"['Action', 'Sci-Fi', 'Thriller']","When Special forces agent Matvey Sobolev survives an explosion, he realizes he must master the art of absolute inner power before confronting his powerful rival, Kurylo, a cruel leader of a criminal syndicate.","['outer space', 'female rear nudity', 'survival', 'politician', 'journalist', 'fight', 'hero', 'psychotronic weapon', 'moscow russia', 'female nudity']",Konstantin Maksimov,"['Konstantin Maksimov', 'Larisa Stepanova', 'Igor Petrenko', 'Lyubov Tolkalina', 'Aleksandr Baluev']",Vasily Golovachov,/title/tt14174940/
Black Adam,"['Action', 'Fantasy', 'Sci-Fi']","Nearly 5,000 years after he was bestowed with the almighty powers of the Egyptian gods-and imprisoned just as quickly-Black Adam (Johnson) is freed from his earthly tomb, ready to unleash his unique form of justice on the modern world.","['dc extended universe', 'based on comic', 'based on comic book', 'dc comics', 'supervillain', 'shared universe', 'superhero', 'two word title', 'egyptian mythology', 'color in title']",Jaume Collet-Serra,"['Rory Haines', 'Sohrab Noshirvani', 'Sarah Shahi', 'Dwayne Johnson', 'Pierce Brosnan']",Adam Sztykiel,/title/tt6443346/
The Northman,"['Action', 'Adventure', 'Drama']","From visionary director Robert Eggers comes The Northman, an action-filled epic that follows a young Viking prince on his quest to avenge his father's murder.","['female full frontal nudity', 'hairy bush', 'viking', 'viking age', 'based on legend', 'female frontal nudity', ""avenging father's death"", 'king', 'berserker', 'female pubic hair']",Robert Eggers,"['Robert Eggers', 'Alexander Skarsgård', 'Nicole Kidman', 'Claes Bang', 'Robert Eggers']",Sjón,/title/tt11138512/
Thor: Love and Thunder,"['Action', 'Adventure', 'Comedy']","Thor enlists the help of Valkyrie, Korg and ex-girlfriend Jane Foster to fight Gorr the God Butcher, who intends to make the gods extinct.","['marvel comics', 'based on comic', 'superhero', 'superheroine', 'unnecessary male objectification', 'stupid male objectification', 'marvel cinematic universe', 'sequel', 'fourth part', 'based on comic book']",Taika Waititi,"['Jennifer Kaytin Robinson', 'Stan Lee', 'Chris Pratt', 'Taika Waititi', 'Chris Hemsworth']",Taika Waititi,/title/tt10648342/
Fantastic Beasts: The Secrets of Dumbledore,"['Action', 'Adventure', 'Fantasy']",Professor Albus Dumbledore must assign Newt Scammander and his fellow partners as Grindelwald begins to lead an army to eliminate all Muggles.,"['wand', 'hogwarts', 'younger version of character', 'fascist', 'wizard', 'lgbt', 'killing an animal', 'based on novel', 'dark', 'magic']",David Yates,"['Steve Kloves', 'Eddie Redmayne', 'Jude Law', 'Ezra Miller', 'David Yates']",J.K. Rowling,/title/tt4123432/
The Unbearable Weight of Massive Talent,"['Action', 'Comedy', 'Crime']","In this action-packed comedy, Nicolas Cage plays Nick Cage, channeling his iconic characters as he's caught between a superfan (Pedro Pascal) and a CIA agent (Tiffany Haddish).","['reference to nicolas cage', 'black comedy', 'american abroad', 'washed up star', 'hero', 'reference to john cassavetes', 'golden gun', 'bare chested male', 'majorca', 'american in spain']",Tom Gormican,"['Kevin Etten', 'Nicolas Cage', 'Pedro Pascal', 'Tiffany Haddish', 'Tom Gormican']",Tom Gormican,/title/tt11291274/
Jurassic Park,"['Action', 'Adventure', 'Sci-Fi']",A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,"['dinosaur', 'scientist', 'bipedal dinosaur', 'tyrannosaurus rex', 'sneeze', 'creature feature', 'national film registry', 'dinosaur versus dinosaur', 'dinosaur attack', 'jurassic park']",Steven Spielberg,"['David Koepp', 'Sam Neill', 'Laura Dern', 'Jeff Goldblum', 'Steven Spielberg']",Michael Crichton,/title/tt0107290/
Doctor Strange in the Multiverse of Madness,"['Action', 'Adventure', 'Fantasy']","Doctor Strange teams up with a mysterious teenage girl from his dreams who can travel across multiverses, to battle multiple threats, including other-universe versions of himself, which threaten to wipe out millions across the multiverse. They seek help from Wanda the Scarlet Wit... Read all","['sequel', 'doctor strange character', 'marvel comics', 'second part', 'superhero', 'based on comic', 'scarlet witch character', 'multiverse', 'america chavez character', 'lovecraftian']",Sam Raimi,"['Stan Lee', 'Steve Ditko', 'Benedict Cumberbatch', 'Elizabeth Olsen', 'Chiwetel Ejiofor']",Michael Waldron,/title/tt9419884/
No Time to Die,"['Action', 'Adventure', 'Thriller']","James Bond has left active service. His peace is short-lived when Felix Leiter, an old friend from the CIA, turns up asking for help, leading Bond onto the trail of a mysterious villain armed with dangerous new technology.","['official james bond series', 'james bond character', 'espionage', 'mi6', 'poison', 'death of major character', 'spy', 'shooting', '007', 'secret agent']",Cary Joji Fukunaga,"['Robert Wade', 'Cary Joji Fukunaga', 'Daniel Craig', 'Ana de Armas', 'Rami Malek']",Neal Purvis,/title/tt2382320/
The Batman,"['Action', 'Crime', 'Drama']","When a sadistic serial killer begins murdering key political figures in Gotham, Batman is forced to investigate the city's hidden corruption and question his family's involvement.","['superhero', 'batman character', 'gotham city', 'based on comic', 'dc comics', 'riddle', 'masked superhero', 'bruce wayne character', 'catwoman character', 'penguin character']",Matt Reeves,"['Peter Craig', 'Bill Finger', 'Robert Pattinson', 'Zoë Kravitz', 'Jeffrey Wright']",Matt Reeves,/title/tt1877830/
Bullet Train,"['Action', 'Thriller']",Five assassins aboard a fast moving bullet train find out their missions have something in common.,"['train', 'assassin', 'crew', 'fight', 'assignment', 'danger', 'passenger', 'mission', 'columbia tristar', 'sony']",David Leitch,"['Zak Olkewicz', 'Karen Fukuhara', 'Brad Pitt', 'Sandra Bullock', 'David Leitch']",Kôtarô Isaka,/title/tt12593682/
Bullet Train,"['Action', 'Crime', 'Drama']","Criminals plant a bomb on a high-speed train. It will explode when the train slows down, unless a ransom is paid.","['blackmail', 'bullet train', 'loot', 'railroad', 'conductor', 'explosive', 'cynicism', 'misfit', 'divorce', 'panic']",Jun'ya Satô,"[""Jun'ya Satô"", 'Sunao Sakagami', 'Ken Takakura', ""Shin'ichi Chiba"", 'Kei Yamamoto']",Ryûnosuke Ono,/title/tt12593682/
Jurassic World,"['Action', 'Adventure', 'Sci-Fi']","A new theme park, built on the original site of Jurassic Park, creates a genetically modified hybrid dinosaur, the Indominus Rex, which escapes containment and goes on a killing spree.","['dinosaur', 'velociraptor', 'theme park', 'disaster film', 'experiment gone wrong', 'aquarium', 'helicopter crash', 'jurassic park', 'pig', 'island']",Colin Trevorrow,"['Amanda Silver', 'Colin Trevorrow', 'Chris Pratt', 'Bryce Dallas Howard', 'Ty Simpkins']",Rick Jaffa,/title/tt0369610/
Jurassic World: Fallen Kingdom,"['Action', 'Adventure', 'Sci-Fi']","When the island's dormant volcano begins roaring to life, Owen and Claire mount a campaign to rescue the remaining dinosaurs from this extinction-level event.","['dinosaur', 'island', 'sequel', 'tyrannosaurus rex', 'jurassic park', 'clone', 'blockbuster', 'creature feature', 'genetic engineering', 'secret laboratory']",J.A. Bayona,"['Colin Trevorrow', 'Michael Crichton', 'Chris Pratt', 'Bryce Dallas Howard', 'Rafe Spall']",Derek Connolly,/title/tt4881806/
Vikram,"['Action', 'Thriller']","Amar is assigned to investigate a case of serial killings. When Amar investigates the case, he realizes it is not what it seems to be and following down this path will lead to nothing but war between everyone involved.","['thiller', 'entertainer', 'investigator', 'action thriller', 'crime organization', 'action hero', 'shootout', 'violence']",Lokesh Kanagaraj,"['Rathna Kumar', 'Kamal Haasan', 'Vijay Sethupathi', 'Fahadh Faasil', 'Lokesh Kanagaraj']",Lokesh Kanagaraj,/title/tt9179430/
Morbius,"['Action', 'Adventure', 'Horror']","Biochemist Michael Morbius tries to cure himself of a rare blood disease, but he inadvertently infects himself with a form of vampirism instead.","['vampire', 'based on comic', 'marvel comics', 'superhero', 'blood', 'blood disease', 'babe scientist', 'bare chested male', 'building', 'scene during end credits']",Daniel Espinosa,"['Burk Sharpless', 'Jared Leto', 'Matt Smith', 'Adria Arjona', 'Daniel Espinosa']",Matt Sazama,/title/tt5108870/
The Lost City,"['Action', 'Adventure', 'Comedy']",A reclusive romance novelist on a book tour with her cover model gets swept up in a kidnapping attempt that lands them both in a cutthroat jungle adventure.,"['reclusive writer', 'writer', 'book tour', 'kidnapping', 'leech', 'romance novelist', 'jungle adventure', 'model', 'jungle', 'novelist']",Aaron Nee,"['Oren Uziel', 'Dana Fox', 'Adam Nee', 'Sandra Bullock', 'Channing Tatum']",Adam Nee,/title/tt13320622/
Spider-Man: No Way Home,"['Action', 'Adventure', 'Fantasy']","With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.","['spider man character', 'marvel cinematic universe', 'multiverse', 'green goblin character', 'superhero', 'based on comic', 'peter parker character', 'villain', 'doctor strange character', 'new york city']",Jon Watts,"['Erik Sommers', 'Stan Lee', 'Tom Holland', 'Zendaya', 'Benedict Cumberbatch']",Chris McKenna,/title/tt10872600/
Last Seen Alive,"['Action', 'Thriller']",Will's soon-to-be ex-wife mysteriously vanishes at a gas station. He delves into the town's criminal underbelly while running from the authorities in a race against time to find her.,"['conspiracy thriller', 'disappearance']",Brian Goodman,"['Gerard Butler', 'Jaimie Alexander', 'Russell Hornsby', 'Brian Goodman', 'Marc Frydman']",Marc Frydman,/title/tt15004136/
Sonic the Hedgehog 2,"['Action', 'Adventure', 'Comedy']","When the manic Dr Robotnik returns to Earth with a new ally, Knuckles the Echidna, Sonic and his new friend Tails is all that stands in their way.","['sonic the hedgehog character', 'sequel', 'human animal friendship', 'sonic the hedgehog', 'sidekick', 'based on video game', 'knuckles the echidna character', ""dr. ivo 'eggman' robotnik character"", 'anthropomorphic animal', 'live action adaptation']",Jeff Fowler,"['Josh Miller', 'John Whittington', 'James Marsden', 'Jim Carrey', 'Ben Schwartz']",Pat Casey,/title/tt12412888/
Uncharted,"['Action', 'Adventure']","Street-smart Nathan Drake is recruited by seasoned treasure hunter Victor ""Sully"" Sullivan to recover a fortune amassed by Ferdinand Magellan, and lost 500 years ago by the House of Moncada.","['based on video game', 'hero', 'treasure', 'action hero', 'island', 'uncharted', 'showdown', 'museum', 'chase', 'thief']",Ruben Fleischer,"['Art Marcum', 'Matt Holloway', 'Tom Holland', 'Mark Wahlberg', 'Antonio Banderas']",Rafe Judkins,/title/tt1464335/
Prey,"['Action', 'Drama', 'Horror']","The origin story of the Predator in the world of the Comanche Nation 300 years ago. Naru, a skilled female warrior, fights to protect her tribe against one of the first highly-evolved Predators to land on Earth.","['prequel', 'predator', 'origin', 'alien', 'hunter', 'blood', 'violence', 'anti hero', 'hulu', 'gore']",Dan Trachtenberg,"['Amber Midthunder', 'Dane DiLiegro', 'Harlan Blayne Kytwayhat', 'Dan Trachtenberg', 'Patrick Aison']",Patrick Aison,/title/tt11866324/
Prey,"['Adventure', 'Drama', 'Horror']","PREY tells the story of Nathan (BEAU TRAVAIL'S Gregoire Colin) who is at a countryside retreat for a Fall family reunion that he expects to be particularly stormy. Claire, his wife, has to announce her pregnancy and there are tough decisions that need to be made to prevent the fa... Read all","['female nudity', 'full frontal female nudity', 'public nudity', 'creature feature', 'forest', 'woods', 'dark forest', 'one word title']",Antoine Blossier,"['Erich Vogel', 'Grégoire Colin', 'François Levantal', 'Fred Ulysse', 'Antoine Blossier']",Antoine Blossier,/title/tt11866324/
Prey,"['Comedy', 'Horror', 'Thriller']",A zoo veterinarian gets caught up in a grisly adventure as she finds herself leading the city-wide hunt for a monstrous lion terrorizing the Dutch capital of Amsterdam.,"['lion', 'wilhelm scream', 'dutch', 'netherhorror', ""woman wears only a man's shirt"", 'creature feature', 'zoo', 'veterinarian', 'dog', 'train']",Dick Maas,"['Julian Looman', 'Abbey Hoes', 'Mark Frost', 'Dick Maas', 'Dick Maas']",Dick Maas,/title/tt11866324/
Ambulance,"['Action', 'Crime', 'Drama']",Two robbers steal an ambulance after their heist goes awry.,"['ambulance', 'money', 'bank', 'bank robber', 'heist gone wrong', 'doctor', 'car chase', 'robbery', 'remake', 'prison']",Michael Bay,"['Laurits Munch-Petersen', 'Lars Andreas Pedersen', 'Jake Gyllenhaal', 'Yahya Abdul-Mateen II', 'Eiza González']",Chris Fedak,/title/tt4998632/
Ambulance,"['Action', 'Drama', 'Thriller']","Two brothers commit a robbery out of desperation. However, when it all goes wrong they decide to steal an ambulance, but they soon realize that they are not alone.","['sunlight', 'telephone call', 'dilemma', 'remade', 'one word title', 'moral dilemma', 'ambulance', 'patient', 'hospital', 'police']",Laurits Munch-Petersen,"['Lars Andreas Pedersen', 'Paw Henriksen', 'Thomas Bo Larsen', 'Helle Fagralid', 'Laurits Munch-Petersen']",Laurits Munch-Petersen,/title/tt4998632/
The Lost World: Jurassic Park,"['Action', 'Adventure', 'Sci-Fi']","A research team is sent to the Jurassic Park Site B island to study the dinosaurs there, while an InGen team approaches with another agenda.","['dinosaur', 'jurassic park', 'tyrannosaurus rex', 'velociraptor', 'costa rica', 'giant dinosaur', 'bipedal dinosaur', ""dog's death"", 'blockbuster video', 'carnivorous dinosaur']",Steven Spielberg,"['David Koepp', 'Jeff Goldblum', 'Julianne Moore', 'Pete Postlethwaite', 'Steven Spielberg']",Michael Crichton,/title/tt0119567/
Dune,"['Action', 'Adventure', 'Drama']",A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future.,"['mother son relationship', 'mind control', 'prescience', 'future', 'empire', 'sandworm', 'doctor', 'combat', 'dead body', 'massacre']",Denis Villeneuve,"['Denis Villeneuve', 'Eric Roth', 'Timothée Chalamet', 'Rebecca Ferguson', 'Zendaya']",Jon Spaihts,/title/tt0087182/
Dune,"['Action', 'Adventure', 'Sci-Fi']",A Duke's son leads desert warriors against the galactic emperor and his father's evil nemesis to free their desert world from the emperor's rule.,"['space travel', 'desert planet', 'water', 'dune', 'giant worm', 'spice', 'father proud of son', 'facing fear', 'gagged woman', 'planetary romance']",David Lynch,"['David Lynch', 'Kyle MacLachlan', 'Virginia Madsen', 'Francesca Annis', 'David Lynch']",Frank Herbert,/title/tt0087182/
Jurassic Park III,"['Action', 'Adventure', 'Sci-Fi']","A decidedly odd couple with ulterior motives convince Dr. Grant to go to Isla Sorna for a holiday, but their unexpected landing startles the island's new inhabitants.","['dinosaur', 'jurassic park', 'spinosaurus', 'velociraptor', 'tyrannosaurus rex', 'costa rica', 'cgi animal in live action title', 'dinosaur adventure', 'jungle adventure', 'isla sorna']",Joe Johnston,"['Peter Buchman', 'Alexander Payne', 'Sam Neill', 'William H. Macy', 'Téa Leoni']",Michael Crichton,/title/tt0163025/
Star Wars,"['Action', 'Adventure', 'Fantasy']","Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.","['rebellion', 'galactic war', 'princess', 'lightsaber', 'space opera', 'droid', 'death star', 'jedi', 'good versus evil', 'sword duel']",George Lucas,"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher', 'George Lucas', 'George Lucas']",George Lucas,/title/tt0076759/
The Gray Man,"['Action', 'Thriller']","When the CIA's most skilled operative-whose true identity is known to none-accidentally uncovers dark agency secrets, a psychopathic former colleague puts a bounty on his head, setting off a global manhunt by international assassins.","['male objectification', 'daughter', 'gun', 'handgun', 'europe', 'mysterious', 'life', 'agency', 'spy', 'mission']",Anthony Russo,"['Mark Greaney', 'Joe Russo', 'Christopher Markus', 'Ana de Armas', 'Chris Evans']",Joe Russo,/title/tt1649418/
Avengers: Endgame,"['Action', 'Adventure', 'Drama']","After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.","['time travel', 'superhero', 'super villain', 'cosmic', 'marvel cinematic universe', 'sequel', 'superhero team', 'action hero', 'ensemble cast', 'avengers']",Anthony Russo,"['Christopher Markus', 'Stephen McFeely', 'Stan Lee', 'Robert Downey Jr.', 'Chris Evans']",Joe Russo,/title/tt4154796/
The Lady of Heaven,"['Action', 'Drama', 'History']","Two stories separated by 1400 years: after losing his mother in the midst of a war-torn country, an Iraqi child learns the importance and power of patience by discovering the historical story of Lady Fatima and her suffering.","['islam', 'religion', 'iraq', 'shia', 'isis', 'battle', 'muslim', 'arabia', 'desert', 'sword']",Eli King,"['Denise Black', 'Gabriel Cartade', 'Ray Fearon', 'Eli King', 'Sheikh Al-Habib']",Sheikh Al-Habib,/title/tt13097336/
Pirates of the Caribbean: The Curse of the Black Pearl,"['Action', 'Adventure', 'Fantasy']","Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.","['pirate', 'curse', 'undead', 'captain jack sparrow character', 'joshamee gibbs character', 'captain hector barbossa character', 'bearded man', 'based on theme park attraction', 'based on theme park ride', 'scene after end credits']",Gore Verbinski,"['Terry Rossio', 'Stuart Beattie', 'Johnny Depp', 'Geoffrey Rush', 'Orlando Bloom']",Ted Elliott,/title/tt0325980/
Eternals,"['Action', 'Adventure', 'Fantasy']","The saga of the Eternals, a race of immortal beings who lived on Earth and shaped its history and civilizations.","['suicide', 'superhero', 'gay', 'f rated', 'banned in the middle east', 'marvel cinematic universe', 'sex scene', 'based on comic', 'title directed by female', 'eternals']",Chloé Zhao,"['Patrick Burleigh', 'Ryan Firpo', 'Gemma Chan', 'Richard Madden', 'Angelina Jolie']",Chloé Zhao,/title/tt9032400/
Free Guy,"['Action', 'Adventure', 'Comedy']","A bank teller discovers that he's actually an NPC inside a brutal, open world video game.","['video game world', 'video game character', 'artificial intelligence', 'bank robbery', 'bank security guard', 'video game as subject', 'bank teller', 'virtual reality', 'violence', 'video game violence']",Shawn Levy,"['Zak Penn', 'Ryan Reynolds', 'Jodie Comer', 'Taika Waititi', 'Shawn Levy']",Matt Lieberman,/title/tt6264654/
The Matrix Resurrections,"['Action', 'Sci-Fi']","Return to a world of two realities: one, everyday life; the other, what lies behind it. To find out if his reality is a construct, to truly know himself, Mr. Anderson will have to choose to follow the white rabbit once more.","['fourth part', 'matrix', 'war against machines', 'self referential', 'simulation', 'cyberpunk', 'sequel', 'part of series', 'virtual reality', 'dystopia']",Lana Wachowski,"['David Mitchell', 'Aleksandar Hemon', 'Keanu Reeves', 'Carrie-Anne Moss', 'Yahya Abdul-Mateen II']",Lana Wachowski,/title/tt10838180/
Mission: Impossible,"['Action', 'Adventure', 'Thriller']","An American agent, under false suspicion of disloyalty, must discover and expose the real spy without the help of his organization.","['train', 'betrayal', 'murder', 'based on tv show', 'famous score', 'fugitive', 'disguise', 'helicopter', 'ethan hunt character', 'based on tv series']",Brian De Palma,"['David Koepp', 'Steven Zaillian', 'Tom Cruise', 'Jon Voight', 'Emmanuelle Béart']",Bruce Geller,/title/tt0117060/
Memory,"['Action', 'Thriller']",An assassin-for-hire finds that he's become a target after he refuses to complete a job for a dangerous criminal organization. A remake of the 2003 Belgian film 'The Memory of a Killer'.,"['remake', 'american remake', 'american remake of european film', 'american remake of belgian film', 'remake of european film', 'remake of belgian film', 'foreign language adaptation', 'fight', 'death of protagonist', 'throat slashed']",Martin Campbell,"['Jef Geeraerts', 'Carl Joos', 'Liam Neeson', 'Guy Pearce', 'Taj Atwal']",Dario Scardapane,/title/tt11827628/
Memory,['Drama'],Plot kept under wraps.,[],Michel Franco,"['Peter Sarsgaard', 'Elsie Fisher', 'Michel Franco', 'Jessica Chastain', 'Peter Sarsgaard']",Jessica Chastain,/title/tt11827628/
